"movement_name"     ,"total_weight_lifted" ,"total_sets" ,"total_reps" ,"avg_reps_per_set" ,"avg_weight_per_rep"
"Yoke Run"          ,               382845 ,         104 ,        1015 ,               9.8 ,               377.2
"Deadlift"          ,               290329 ,         223 ,        1195 ,               5.4 ,               243
"Squat"             ,               260111 ,         207 ,        1676 ,               8.1 ,               155.2
"Carry"             ,               247550 ,          88 ,         948 ,              10.8 ,               261.1
"Hip Thrust"        ,               150425 ,          79 ,         947 ,              12   ,               158.8
"Bench Press"       ,               123100 ,         135 ,         982 ,               7.3 ,               125.4
"OHP"               ,                97811 ,         231 ,        1469 ,               6.4 ,                66.6
"Row"               ,                81782 ,          55 ,         602 ,              10.9 ,               135.9
"Log Press"         ,                78130 ,         200 ,         581 ,               2.9 ,               134.5
"Leg Curl"          ,                52330 ,          56 ,         769 ,              13.7 ,                68
"Leg Extension"     ,                49140 ,          25 ,         295 ,              11.8 ,               166.6
"Raise"             ,                44982 ,         106 ,        1090 ,              10.3 ,                41.3
"Load"              ,                41140 ,          78 ,         211 ,               2.7 ,               195
"Clean and Press"   ,                36180 ,          60 ,         288 ,               4.8 ,               125.6
"Step Up"           ,                36025 ,          25 ,         386 ,              15.4 ,                93.3
"RDL"               ,                34585 ,          24 ,         209 ,               8.7 ,               165.5
"Pull Downs"        ,                30452 ,          25 ,         252 ,              10.1 ,               120.8
"Push Ups"          ,                23200 ,          22 ,         232 ,              10.5 ,               100
"Pull"              ,                19200 ,           6 ,          50 ,               8.3 ,               384
"Pull Apart"        ,                18900 ,          42 ,         800 ,              19   ,                23.6
"Pull ups"          ,                18840 ,          20 ,         109 ,               5.5 ,               172.8
"Banded Clam"       ,                18020 ,          63 ,         868 ,              13.8 ,                20.8
"Fly"               ,                17550 ,          33 ,         322 ,               9.8 ,                54.5
"Skull Crusher"     ,                15420 ,          24 ,         276 ,              11.5 ,                55.9
"Field Goal"        ,                12300 ,          29 ,         500 ,              17.2 ,                24.6
"Tricep Extensions" ,                12070 ,          22 ,         235 ,              10.7 ,                51.4
"Push"              ,                11400 ,           6 ,          60 ,              10   ,               190
"French Press"      ,                10950 ,          17 ,         170 ,              10   ,                64.4
"Rack Pull"         ,                10800 ,           4 ,          40 ,              10   ,               270
"Ab Rollouts"       ,                10800 ,          12 ,         108 ,               9   ,               100
"Windmills"         ,                10160 ,          30 ,         304 ,              10.1 ,                33.4
"Arnold Press"      ,                 9620 ,          13 ,         133 ,              10.2 ,                72.3
"Shoulder"          ,                 8155 ,          12 ,          52 ,               4.3 ,               156.8
"Lunges"            ,                 8000 ,           8 ,          80 ,              10   ,               100
"Bicep Curl"        ,                 7930 ,          12 ,         113 ,               9.4 ,                70.2
"Log Clean"         ,                 7610 ,           9 ,          35 ,               3.9 ,               217.4
"Z Press"           ,                 7600 ,          12 ,          95 ,               7.9 ,                80
"Tire flips"        ,                 7600 ,           4 ,          13 ,               3.3 ,               584.6
"Extension"         ,                 6970 ,           7 ,          33 ,               4.7 ,               211.2
"Good Morning"      ,                 6380 ,           7 ,          60 ,               8.6 ,               106.3
"Plank"             ,                 6000 ,           2 ,          60 ,              30   ,               100
"Fire Hydrant"      ,                 5920 ,          24 ,         408 ,              17   ,                14.5
"Monster Walk"      ,                 5800 ,          20 ,         220 ,              11   ,                26.4
"Throw"             ,                 5007 ,          33 ,          81 ,               2.5 ,                61.8
"Drag"              ,                 4000 ,           1 ,          10 ,              10   ,               400
"Face Pulls"        ,                 3780 ,           6 ,          60 ,              10   ,                63
"Hold"              ,                 3355 ,           4 ,          25 ,               6.3 ,               134.2
"Chest"             ,                 2820 ,           5 ,          21 ,               4.2 ,               134.3
"Fingal Finger"     ,                 2100 ,           3 ,          15 ,               5   ,               140
"Pull Over"         ,                 1980 ,           3 ,          36 ,              12   ,                55
"Russian Twists"    ,                 1500 ,           3 ,          60 ,              20   ,                25
"Side Bend"         ,                 1400 ,           2 ,          20 ,              10   ,                70
